#Method,Precision,Recall,F1
LA,0.28875,0.6099642857142857,0.3704669552669553
TFIDF,0.15563333333333335,0.48995,0.2273358585858586
RAKE,0.13358333333333333,0.2951190476190476,0.17435180375180376
TEXTRANK,0.12176666666666666,0.20996190476190477,0.14383737373737374
YAKE,0.1665,0.48247619047619045,0.23609769119769122
